Name,Category,Latitude,Longitude,scalerank
Oceanos,restaurant,9.9630384,76.2391052,2
Open Flame Restaurant,restaurant,9.9553875,76.2925654,2
Orchid the Elite Garden Restaurant,restaurant,9.9661482,76.2424088,2
Palaaram,restaurant,10.1460386,76.2352395,2
Pappada vada,restaurant,9.9942364,76.2924487,2
Paravur Tourist Home(PTH),restaurant,10.1483787,76.2291965,2
Pepper House,restaurant,9.9688576,76.2502907,1
Periyar Club,restaurant,10.1262728,76.3490787,2
Pizza Italia,restaurant,9.967199,76.2432199,1
Prana Restaurant,restaurant,10.1470784,76.2287536,2
Punjab House,restaurant,9.9784034,76.2779809,2
Rahmaniya Kethals Chicken,restaurant,9.9964444,76.2929529,2
Raintree Restaurant,restaurant,9.9670771,76.244534,2
Rangeela Family Restaurant Vegetarian,restaurant,9.9791698,76.2813627,2
Rangoli,restaurant,9.9699455,76.285407,2
Real Arabia,restaurant,9.959554,76.2451967,2
Restaurant Ela,restaurant,9.9774728,76.2773671,2
Rolexio,restaurant,10.0116229,76.3031046,2
Rose Garden,restaurant,9.9655368,76.2436764,2
Saffire Restaurant,restaurant,10.0241389,76.308015,2
Salala bakery,restaurant,10.1044552,76.358638,2
Salt and Pepper,restaurant,9.9671815,76.2434236,2
Sanam,restaurant,9.9685824,76.2892576,2
Sardarji ka Daba,restaurant,9.9858284,76.280936,1
Sarovaram,restaurant,9.9491504,76.3172271,2
Seapark,restaurant,10.049115,76.3187471,2
Shala,restaurant,9.9655014,76.2420706,2
Shantilal Sweet store,restaurant,9.9597213,76.2552363,2
Shapotel,restaurant,9.9485296,76.3186989,2
Sidra Pristine,restaurant,9.9934196,76.2871774,2
Slice of Spice Restaurant,restaurant,10.1493655,76.2382122,2
Slice of Spice Restaurant,restaurant,9.9855659,76.2770053,2
Spice Root Restaurant,restaurant,9.9644415,76.2430534,2
spice shop GMS,restaurant,9.9773732,76.2778869,2
Sree Balaji Vegetarian Restaurant,restaurant,9.9668863,76.3071234,2
Sree Ganesha Restaurant,restaurant,9.95639,76.259759,2
Sri Krishna Café,restaurant,9.9578571,76.2546772,2
Sri Krishna inn,restaurant,9.96645,76.2850629,2
Sukh Sagar,restaurant,10.1414267,76.2290388,2
Surya Kudumbasree,restaurant,9.9905283,76.2656269,2
Sutra,restaurant,9.9666523,76.2417696,2
Taj Mahal,restaurant,9.9642561,76.2427961,2
Talk of the Town,restaurant,9.9652928,76.2436471,2
Tandoor,restaurant,9.9697304,76.285255,2
Thai Soul,restaurant,9.9884256,76.2644404,2
Thalassery Adukkala,restaurant,9.9734477,76.3103628,2
The Chillax,restaurant,9.9685914,76.2516305,2
The Drawing Room,restaurant,9.9671233,76.2405567,2
The Malabar Junction,restaurant,9.9643978,76.2393706,1
The Renai,restaurant,10.0052444,76.3053781,2
The Tibet Kitchen,restaurant,9.9657902,76.2441036,1
Tibetan Chef's Restaurant,restaurant,9.9640897,76.2429715,2
Udupi Hotel,restaurant,10.1490817,76.2312965,2
Ummi's,restaurant,9.968642,76.2878549,2
Uncle's restaurant,restaurant,9.9652652,76.2437334,2
Upstairs Italian Restaurant,restaurant,9.9653883,76.2436388,1
Vadakkans,restaurant,10.1947886,76.3876488,2
Vegetarian Restaurant,restaurant,10.1512473,76.2228091,2
Zaina Bakery,restaurant,10.1079331,76.3591345,2
5 star fresh chips,Bakery,10.1188175,76.3431415,2
Afters,Bakery,9.9712869,76.3173628,2
