Name,Category,Sub category,Latitude ,Longitude
Casa Linda,Gastronomy,restaurant,9.966658,76.2455688
Caza Maria,Gastronomy,restaurant,9.9586771,76.2595398
Chariot Restaurant,Gastronomy,restaurant,9.9764192,76.2835801
Chic King,Gastronomy,restaurant,10.0034835,76.3085617
Chicago Revolving Restaurant,Gastronomy,restaurant,9.9784097,76.2855527
Chilli Restaurant,Gastronomy,restaurant,10.1572688,76.3924697
Chillies,Gastronomy,restaurant,10.1606149,76.3612836
Chiyang,Gastronomy,restaurant,9.9858679,76.28105
Chopstick Thai,Gastronomy,restaurant,10.0041439,76.3101656
Chunkam Restaurant,Gastronomy,restaurant,10.1567951,76.3262765
Cinema Cafe,Gastronomy,restaurant,9.9883345,76.2796824
Cinnamon,Gastronomy,restaurant,9.964779,76.2411123
City Light,Gastronomy,restaurant,9.9644086,76.2456537
Colombo,Gastronomy,restaurant,9.9736706,76.2808261
Container Cafe,Gastronomy,restaurant,10.0260416,76.3063897
Cook your fish,Gastronomy,restaurant,9.9671597,76.2435228
Cuba Cafe,Gastronomy,restaurant,9.9672023,76.2432536
Dal Roti,Gastronomy,restaurant,9.9640157,76.2398159
De-Paris,Gastronomy,restaurant,9.9456345,76.2551757
Dhe Puttu,Gastronomy,restaurant,10.0203387,76.3107871
Domino's,Gastronomy,restaurant,10.003008,76.3059385
Domino's,Gastronomy,restaurant,9.9640517,76.3181681
Dominos,Gastronomy,restaurant,9.9606434,76.2889753
dosa and pancakes,Gastronomy,restaurant,9.9687342,76.2499043
Dosa Hub Restaurant,Gastronomy,restaurant,10.1955796,76.3863669
east India cafe,Gastronomy,restaurant,9.9670638,76.2525243
East Indies,Gastronomy,restaurant,9.9647989,76.2388846
Eat'n'Pack,Gastronomy,restaurant,9.9642981,76.2456082
Engineers Mess,Gastronomy,restaurant,9.9442368,76.2851873
Enkay Restaurant,Gastronomy,restaurant,9.996189,76.2804614
Erivum Puliyum,Gastronomy,restaurant,9.9848168,76.2765922
Febina,Gastronomy,restaurant,9.9586543,76.2449884
Fish n Chips,Gastronomy,restaurant,9.964454,76.24319
Food Court,Gastronomy,restaurant,9.9653209,76.2384912
French Toast Cafe,Gastronomy,restaurant,9.9878571,76.2824873
Frys,Gastronomy,restaurant,9.9837669,76.2834896
Fusion Bay,Gastronomy,restaurant,9.9657064,76.2437358
Fusion Bay,Gastronomy,restaurant,9.9654507,76.2436563
Gausiya,Gastronomy,restaurant,10.0259405,76.3064728
Ginger House Restaurant,Gastronomy,restaurant,9.9567936,76.2607899
Gokul Ootupura,Gastronomy,restaurant,9.9574251,76.2964776
Golden Fork,Gastronomy,restaurant,10.0049729,76.3137921
Gopika Residency,Gastronomy,restaurant,10.0875327,76.2678122
hotel,Gastronomy,restaurant,10.1483518,76.2460235
Hotel A1,Gastronomy,restaurant,9.9655965,76.2398267
Hotel Classic,Gastronomy,restaurant,9.9922152,76.2859228
Hotel Cochin Fort Fish Restaurant,Gastronomy,restaurant,9.9680178,76.2454509
Hotel Lucky Star,Gastronomy,restaurant,9.9641322,76.2455538
Hotel Moms Kitchen,Gastronomy,restaurant,9.9892475,76.2657832
Hotel Paradise,Gastronomy,restaurant,10.0285196,76.3099997
Hotel Raghavendra,Gastronomy,restaurant,9.95338,76.3408782
Hotel Sagar,Gastronomy,restaurant,10.1072798,76.3564057
Hotel Saraswathy Bhavan,Gastronomy,restaurant,9.9773213,76.2769728
Hotel Saravana Bhavan,Gastronomy,restaurant,9.9847576,76.2767021
Ice Cream Parlour,Gastronomy,restaurant,9.9578267,76.24492
Iftar,Gastronomy,restaurant,10.111085,76.3493468
Indian Coffee House Angamaly,Gastronomy,restaurant,10.1956934,76.3862024
Kalancherry retreat,Gastronomy,restaurant,9.8904699,76.2769985
Kalavara Hotel,Gastronomy,restaurant,10.0251018,76.30727
Kalyan Restaurant,Gastronomy,restaurant,9.9873996,76.2764012
